,artist_mbid,artist_name,artist_playmeid,danceability,duration,energy,key,loudness,mode,release,release_7digitalid,song_hotttnesss,song_id,tempo,time_signature,title,track_7digitalid,track_id,year
0,b'c43bb0d6-94d7-410f-80fb-e5a243b18d23',b'Rapha\xc3\xabl',2676,0.0,148.74077,0.0,0,-9.636,1,b'Je Sais Que La Terre Est Plate (Deluxe)',275907,0.5479529419800353,b'SOGSMXL12A81C23D88',124.059,4,b'Je Sais Que La Terre Est Plate',3073568,b'TRARRZU128F4253CA2',2008
1,b'a69cd724-2f57-4ed0-bfed-ba20401eb84c',b'Julie Zenatti',5772,0.0,252.99546,0.0,1,-11.061,0,b'Comme Vous',382807,0.47563846801023907,b'SOMBCOW12AAF3B229F',80.084,4,b'On Efface',4249244,b'TRARRJL128F92DED0E',2004
2,b'60bd8a1c-c093-4849-8f28-08101ca059b1',b'The Baltimore Consort',20540,0.0,78.0273,0.0,3,-24.14,1,b'Watkins Ale -  Music of the English Renaissance',490659,,b'SOEYIHF12AB017B5F4',54.874,4,b'Howells Delight',5436063,b'TRARRUZ128F9307C57',0
3,b'44b5b950-2ae2-403a-8c67-82d8fc72033d',b'I Hate Sally',-1,0.0,163.63057,0.0,7,-5.795,1,"b""Don't Worry Lady""",116616,,b'SODJYEC12A8C13D757',77.15,3,b'Martha Served',1199928,b'TRARRWA128F42A0195',2007
4,b'0e6524bd-6641-46a6-bce5-96f06c19aa46',b'Orlando Pops Orchestra',-1,0.0,199.99302,0.0,10,-16.477,1,b'Easy Listening: Cartoon Songs',767122,,b'SOGSOUE12A58A76443',120.382,4,b'Zip-A-Dee-Doo-Dah (Song of the South)',8493899,b'TRARRPG12903CD1DE9',0
5,b'097c86bc-b2b6-4791-833b-39b5385fe3e6',b'Brand X',88169,0.0,279.35302,0.0,9,-12.474,1,b'X Communication : Trilogy II',503347,0.4454545254934259,b'SOVVDCO12AB0187AF7',99.024,4,b'Liquid Time (composition by John Goodsall)',5570526,b'TRARRER128F9328521',0
6,b'efaefde1-e09b-4d49-9d8e-b1304d2ece8d',b'Amorphis',51681,0.0,255.03302,0.0,9,-4.393,1,b'Karelian Isthmus',239673,0.3277366831778408,b'SOKSZVC12A8C142004',175.673,4,b'Misery Path (From the Privilege of Evil)',2999402,b'TRARRYC128F428CCDA',0
7,b'de885e5b-284d-4dac-954c-48c7d7e2ebe5',b'Inoki',-1,0.0,259.3171,0.0,1,-5.05,1,b'Nobilt\xc3\xa0 di strada',124304,,b'SORWTIF12A6D4FAA41',87.999,4,b'Nuovi Re pt. I I (feat. Tek money - Lady Tambler)',1283021,b'TRARROY128F42281F7',0
8,b'37c78aeb-d196-42b5-b991-6afb4fc9bc2e',b'Dead Kennedys',6004,0.0,216.842,0.0,10,-4.264,1,b'Milking The Sacred Cow',181162,0.7883881833222074,b'SOZQSGL12AF72A9145',92.897,4,b'Halloween',1959132,b'TRARREF128F422FD96',1982
9,b'050ce7ea-0935-430f-bcec-b83e702298eb',b'Brigada Victor Jara',-1,0.0,312.99873,0.0,4,-13.885,0,b'Novas Vos Trago',337773,,b'SOKRHNY12AB01837DB',86.981,5,b'Parto em terras distantes',3779273,b'TRARRVB128F92F47CA',1998
