k, knn_frac, max_overlap, min_songs, map_k, cosine, metadata
8176,0.419447852482687,0.21108494323019045,9,0.005960910372281438,0.1579910933341342,3.7459157627502426
35,0.733921620160842,0.03357312126401513,3,0.0016613358015726367,0.15437418244065623,3.9160084982368155
850,0.7828262899460886,0.4103711310397693,11,0.0035022185180554,0.16419775087722804,4.077857892030107
1158,0.2555743710771279,0.26062605118649573,13,0.0053546540142729885,0.14269760128020725,3.313889428081492
2674,0.48705155991187776,0.0035463256655937636,5,0.005396467764756126,0.1542219773482706,3.8384352604299514
620,0.11163783116212367,0.9713829481395672,4,0.005968249082480478,0.14717378160025912,3.2746390141358006
59,0.5543783670832831,0.49513990044433553,2,0.0050347865834364895,0.15399687100655507,3.6822779720266334
88,0.3310802267004008,0.29781891031762864,13,0.004722624369271786,0.15540614140958056,3.5339586269908505
348,0.38422570087035357,0.25750297133763567,6,0.005614473378334498,0.1506933685851196,3.561677478139955
46,0.38113000552563503,0.7646749252607805,5,0.005877541729580499,0.14809939020092971,3.595993957048885
4977,0.7155392932087481,0.7877957703909656,8,0.004607792185928732,0.1614622502552031,4.056756601262865
53,0.06392972859148904,0.922741522997459,14,0.0062042068237472825,0.13489754460878373,3.1747596235439763
419,0.21522541785944083,0.05774774833761298,7,0.005895115140899438,0.14658593766282957,3.395115586058666
101,0.31782989518115146,0.1452008380187947,1,0.005159942252693603,0.1486048620468739,3.533699768135943
108,0.42786473859298935,0.8141964791893653,11,0.0038839227887811595,0.15058567219972016,3.731480283110441
427,0.11594008870748984,0.08615960837701075,10,0.004012299084701284,0.13700112525538008,3.4348217855211485
3631,0.8867223167901142,0.267667904498861,8,0.0022274695039656072,0.16612067014307208,4.22602684396845
615,0.2216839458612625,0.5331756739524043,9,0.005634979989161878,0.15092015488370109,3.44246642822313
60,0.7881700866169238,0.41824835681128913,11,0.003782208443860099,0.15812822586646408,3.906722863758821
8839,0.22227541172484488,0.7527209363977958,3,0.0050240359417446446,0.14533609992883237,3.2640552139003107
2037,0.03152824855521963,0.020439857578386178,2,0.006185542789240881,0.15046720757494436,3.2036507735502235
6923,0.90880189273163,0.41554388980762835,9,0.002385464040619117,0.16714036580553085,4.268771190558079
