,Unnamed: 0,artist_mbid,artist_name,artist_playmeid,danceability,duration,energy,key,loudness,mode,release,release_7digitalid,song_hotttnesss,song_id,tempo,time_signature,title,track_7digitalid,track_id,year,genre
0,4,0e6524bd-6641-46a6-bce5-96f06c19aa46,Orlando Pops Orchestra,-1,0.0,199.99302,0.0,10,-16.477,1,Easy Listening: Cartoon Songs,767122,,SOGSOUE12A58A76443,120.382,4,Zip-A-Dee-Doo-Dah (Song of the South),8493899,TRARRPG12903CD1DE9,0,Stage 
1,8,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,Dead Kennedys,6004,0.0,216.842,0.0,10,-4.263999999999999,1,Milking The Sacred Cow,181162,0.788388183322,SOZQSGL12AF72A9145,92.897,4,Halloween,1959132,TRARREF128F422FD96,1982,Pop_Rock
2,10,17e137fb-59e5-4fd7-af48-afc34995396c,Atreyu,-1,0.0,218.90567000000001,0.0,0,-4.707,0,The Curse,290671,0.6810920295819999,SOBTEHX12A6D4FBF18,157.715,4,You Eclipsed By Me (Album Version),3260887,TRARRQO128F427B5F5,2004,Pop_Rock
3,11,e8143d56-f2e9-4122-9666-6aa5352dadcd,Mistress,160877,0.0,580.70159,0.0,0,-4.523,1,In Disgust We Trust,682479,0.401486711428,SOXGDVW12AB01864E7,146.33100000000002,4,Shovel,7574139,TRARRMK12903CDF793,2005,Pop_Rock
4,12,2e3b75d8-00a8-486a-b4e7-a1f8f65e64c9,Shadows Fall,12510,0.0,283.48036,0.0,0,-4.0760000000000005,0,The War Within,734726,0.687873714973,SOKMPKV12A67AE241B,84.992,4,What Drives The Weak,8138989,TRARUOP12903CF2384,2004,Pop_Rock
5,13,17be2a06-5295-43ca-a363-c683b562df72,Vanessa Daou,-1,0.0,229.66812000000002,0.0,2,-19.293,1,Joe Sent Me,409164,0.266955186276,SOMVPGP12AB01881FF,79.96,3,Life Force,4551998,TRARURM128F931A91B,0,Pop_Rock
6,17,f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,-1,0.0,208.95302,0.0,4,-6.0520000000000005,1,Hybrid Theory,18150,0.872229022609,SOEKSGJ12A67AE227E,105.095,4,Crawling (Album Version),193083,TRARUTP128E0797FC7,2000,Pop_Rock
7,21,401c3991-b76b-499d-8082-9f2df958ef78,Phil Collins,-1,0.0,154.93178999999998,0.0,5,-15.433,0,Face Value,40836,0.596840703553,SOZKFHV12A6D4F996F,100.042,4,I'm Not Moving,435053,TRARIRG128F147FC96,1981,Pop_Rock
8,25,98b67ebc-5606-4cdb-9787-47b12cceb101,Kiss,872,0.0,241.08362999999997,0.0,9,-8.021,1,Asylum,33541,0.538422402971,SOIAZJL12A6D4F854E,99.76100000000001,1,Radar For Love,359919,TRARIIY128F147187D,0,Pop_Rock
9,28,b7aa3a81-01f7-4603-905f-8de902528ba9,Back Door Slam,-1,0.0,319.84281,0.0,3,-4.325,0,Roll Away,555515,0.624833533556,SOOQCOC12A8C132A5A,92.971,4,Heavy On My Mind (Album Version),6141531,TRARIMP128F933D217,2007,Pop_Rock
