k	knn_frac	max_overlap	mode	map_k	cosine	metadata
69	0.736399929	0.393535844	random	0.06190358	0.162604993	4.008535936
78	0.746395979	0.414677193	weighted_random	0.064398316	0.162146036	3.965200071
18	0.037172162	0.438610629	random	0.090180628	0.159338635	3.471161797
2145	0.272137149	0.836586557	popular	0.088487448	0.181469886	3.382806031
33	0.656197669	0.373286908	popular	0.079796227	0.170770603	3.536555148
3854	0.247746335	0.376302839	weighted_random	0.089740265	0.166245408	3.587125309
157	0.04446112	0.881448346	random	0.091081611	0.163644309	3.368009415
28	0.137153307	0.157454818	random	0.092238016	0.167640929	3.604144292
143	0.874302975	0.699649735	popular	0.06949199	0.152633858	3.353684336
1039	0.402905161	0.257678873	random	0.082449851	0.166780595	3.84581218
129	0.101548829	0.139643436	popular	0.088073289	0.181247589	3.460148522
633	0.99450312	0.635362771	popular	0.102138334	0.183428448	3.263640928
528	0.925587097	0.850730119	random	0.018950566	0.162736824	4.184665251
